BusinessArea;CompanyCode;Department;Division;Employee;Employee_Desc;Fulltime;FutureLeader;Gender;HasLeft;ImpactofLoss;Job_Desc;Location;Location_ID;Manager;Manager_Desc;Married;NewToPosition;PayGrade;Performance;Latitude;Longitude;StandardWeeklyHours;Workingdaysperweek;Salary_AVG_Var;Age;Seniority;Salary
Business Area A;NA Corp.;E147398;DIV02;E147398;Cai, Henry;TRUE;TRUE;Male;n;medium impact;Business Ops Professionals;Philadelphia;REG0001;E252825;Henkes, Marko;TRUE;FALSE;GR-8;Satisfactory;39.87;-75.25;40;5;-0.12;35;5;97135
Business Area A;NA Corp.;E149251;DIV02;E149251;Zuko, Holger;TRUE;#;Male;n;very high impact;Business Ops Professionals;San Francisco;REG0004;E252825;Henkes, Marko;FALSE;FALSE;H-1;Successful;37.62;-122.38;40;5;0.23;63;5;135776
Business Area A;NA Corp.;E149825;DIV02;E149825;Zarud, Hongchul;TRUE;TRUE;Male;n;medium impact;Business Ops Professionals;San Francisco;REG0004;E252825;Henkes, Marko;FALSE;FALSE;GR-9;Successful;37.62;-122.38;40;5;-0.16;62;5;91972
Business Area A;NA Corp.;E156371;DIV02;E156371;Potiagalov, Omero;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E252825;Henkes, Marko;FALSE;FALSE;GR-9;Successful;-33.93;151.17;40;5;-0.42;35;5;64176
Business Area A;NA Corp.;E167458;DIV02;E167458;Crumb, Jacques;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E252825;Henkes, Marko;TRUE;FALSE;GR-9;Outstanding;-33.93;151.17;40;5;0.08;55;5;118758
Business Area A;NA Corp.;E182152;DIV03;E182152;Lee, Jean-Marie;TRUE;#;Female;n;very high impact;Business Ops Professionals;San Francisco;REG0004;E237930;Alpizar, Josh;FALSE;FALSE;H-1;Outstanding;37.62;-122.38;40;5;0.16;51;3;127681
Business Area A;NA Corp.;E183769;DIV03;E183769;Kim, Jeff;TRUE;#;Male;n;very high impact;Business Ops Professionals;San Francisco;REG0004;E237930;Alpizar, Josh;FALSE;FALSE;GR-8;Satisfactory;37.62;-122.38;40;5;-0.19;61;4;88621
Business Area A;NA Corp.;E192061;DIV09;E192061;Che, Carine;TRUE;TRUE;Female;n;Unassigned;Business Ops Professionals;Paris;France;E300121;Lauzon, Charyl;FALSE;FALSE;GR-6;Successful;48.86;2.35;40;5;-0.64;62;3;39896
Business Area A;NA Corp.;E206853;DIV03;E206853;Mousavijavardi, Jonathan;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E237930;Alpizar, Josh;FALSE;FALSE;GR-10;Satisfactory;39.87;-75.25;40;5;0.19;27;3;131081
Business Area A;NA Corp.;E216566;DIV03;E216566;Chou, Ka;TRUE;#;Female;n;medium impact;Business Ops Professionals;Philadelphia;REG0001;E237930;Alpizar, Josh;FALSE;FALSE;GR-12;Satisfactory;39.87;-75.25;40;5;0.44;36;1;158453
Business Area A;NA Corp.;E216877;DIV03;E216877;Chisholm, Ka;TRUE;#;Male;n;medium impact;Business Ops Professionals;Philadelphia;REG0001;E237930;Alpizar, Josh;FALSE;FALSE;GR-12;Extraordinary;39.87;-75.25;40;5;0.85;32;1;203047
Business Area A;NA Corp.;E225540;DIV03;E225540;Raskatov, Ken;TRUE;#;Male;n;medium impact;Business Ops Professionals;Sydney;REG0003;E237930;Alpizar, Josh;FALSE;FALSE;GR-13;Extraordinary;-33.93;151.17;40;5;0.43;47;5;156717
Business Area A;NA Corp.;E228925;DIV03;E228925;Lam, Kevin;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E237930;Alpizar, Josh;FALSE;FALSE;GR-12;Insufficient;39.87;-75.25;40;5;0.77;28;5;194909
Business Area A;NA Corp.;E230769;DIV03;E230769;Jovanovic, Konstantinos;TRUE;TRUE;Male;n;medium impact;Business Ops Professionals;San Francisco;REG0004;E237930;Alpizar, Josh;FALSE;FALSE;GR-16;Outstanding;37.62;-122.38;40;5;2.34;43;5;366970
Business Area A;NA Corp.;E233632;DIV03;E233632;Haupt, Kyle;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;San Francisco;REG0004;E237930;Alpizar, Josh;FALSE;FALSE;GR-13;Successful;37.62;-122.38;40;5;1.56;45;0;281232
Business Area A;NA Corp.;E236190;DIV08;E236190;Chao, Laurens;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;San Francisco;REG0004;E236190;Chao, Laurens;FALSE;FALSE;GR-9;Satisfactory;37.62;-122.38;40;5;-0.18;43;5;90624
Business Area A;NA Corp.;E266882;DIV03;E266882;Schilling, Corrina;TRUE;TRUE;Female;n;medium impact;Business Ops Professionals;Philadelphia;REG0001;E266882;Schilling, Corrina;FALSE;FALSE;GR-6;Satisfactory;39.87;-75.25;40;5;-0.68;46;5;31044
Business Area A;NA Corp.;E276634;DIV09;E276634;Harvey, Myonghoon;TRUE;#;Male;n;medium impact;Business Ops Professionals;Philadelphia;REG0001;E300121;Lauzon, Charyl;FALSE;FALSE;GR-9;Satisfactory;39.87;-75.25;40;5;-0.27;29;5;80553
Business Area A;NA Corp.;E287920;DIV03;E287920;Tsai, Nicole;TRUE;#;Female;n;medium impact;Business Ops Professionals;Philadelphia;REG0001;E237930;Alpizar, Josh;FALSE;FALSE;GR-14;Successful;39.87;-75.25;40;5;0.24;31;1;136133
Business Area A;NA Corp.;E289224;DIV03;E289224;Sidiq, Briana;TRUE;TRUE;Female;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E237930;Alpizar, Josh;FALSE;FALSE;GR-6;Extraordinary;39.87;-75.25;40;5;-0.62;27;1;42073
Business Area A;NA Corp.;E289523;DIV02;E289523;Schneider, Teddie;TRUE;#;Male;n;medium impact;Business Ops Professionals;Frankfurt;Germany;E252825;Henkes, Marko;FALSE;FALSE;GR-10;Insufficient;50.03;8.57;40;5;-0.62;68;4;41694
Business Area B;LA Corp.;E000094;DIV03;E000094;Zuko, Leoline;TRUE;#;Female;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E237930;Alpizar, Josh;FALSE;FALSE;GR-10;Successful;-33.93;151.17;40;5;-0.21;57;0;87009
Business Area B;LA Corp.;E042116;DIV02;E042116;Ancelin, Benjamin;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E252825;Henkes, Marko;FALSE;FALSE;GR-11;Insufficient;-33.93;151.17;40;5;-0.12;43;2;96274
Business Area B;LA Corp.;E067408;DIV03;E067408;Thirmal, Chethan;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Paris;France;E266882;Schilling, Corrina;FALSE;FALSE;GR-11;Successful;48.86;2.35;40;5;-0.23;28;2;84336
Business Area B;LA Corp.;E094409;DIV03;E094409;Olle, Gaylord;TRUE;FALSE;Male;n;Unassigned;Business Ops Professionals;Bangalore;India;E237930;Alpizar, Josh;FALSE;TRUE;GR-9;Successful;13.2;77.71;40;5;-0.54;48;5;50071
Business Area B;LA Corp.;E101985;DIV03;E101985;Huang, Detlef;TRUE;#;Male;n;Unassigned;Business Ops Professionals;Bangalore;India;E237930;Alpizar, Josh;FALSE;FALSE;GR-13;Successful;13.2;77.71;40;5;0.05;52;5;115012
Business Area B;LA Corp.;E104104;DIV02;E104104;Fung, Dominik;TRUE;FALSE;Male;n;Unassigned;Business Ops Professionals;Bangalore;India;E252825;Henkes, Marko;FALSE;TRUE;GR-13;Outstanding;13.2;77.71;40;5;-0.27;52;5;80705
Business Area B;LA Corp.;E132690;DIV02;E132690;Sidiq, Gerrit;TRUE;#;Male;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E252825;Henkes, Marko;FALSE;FALSE;GR-13;Satisfactory;39.87;-75.25;40;5;0.94;30;5;213833
Business Area B;LA Corp.;E134320;DIV03;E134320;Ranjan, Giovanni;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;San Francisco;REG0004;E266882;Schilling, Corrina;FALSE;FALSE;GR-9;Satisfactory;37.62;-122.38;40;5;-0.18;34;5;89884
Business Area B;LA Corp.;E154935;DIV06;E154935;RUF, Ian;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E124542;Del Boccio, Fay;FALSE;FALSE;GR-9;Satisfactory;-33.93;151.17;40;5;-0.39;28;5;67412
Business Area B;LA Corp.;E171174;DIV02;E171174;Archer III, Laverna;TRUE;TRUE;Female;n;Unassigned;Business Ops Professionals;San Francisco;REG0004;E252825;Henkes, Marko;FALSE;FALSE;GR-9;Progressing;37.62;-122.38;40;5;-0.17;61;5;91009
Business Area B;LA Corp.;E171346;DIV02;E171346;An, Trudey;TRUE;FALSE;Female;n;Unassigned;Business Ops Professionals;San Francisco;REG0004;E252825;Henkes, Marko;FALSE;TRUE;GR-13;Satisfactory;37.62;-122.38;40;5;0.51;54;5;165853
Business Area B;LA Corp.;E199278;DIV02;E199278;Vets, Obadias;TRUE;FALSE;Male;n;Unassigned;Business Ops Professionals;Frankfurt;Germany;E252825;Henkes, Marko;FALSE;TRUE;GR-9;Satisfactory;50.03;8.57;40;5;-0.41;47;3;65240
Business Area B;LA Corp.;E206956;DIV02;E206956;Mishra, Jonathan;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;San Francisco;REG0004;E252825;Henkes, Marko;FALSE;FALSE;GR-11;Extraordinary;37.62;-122.38;40;5;0.13;27;1;124364
Business Area B;LA Corp.;E260750;DIV02;E260750;Barton, Mignon;TRUE;TRUE;Female;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E252825;Henkes, Marko;FALSE;FALSE;GR-12;Successful;39.87;-75.25;40;5;0.77;36;3;194954
Business Area B;LA Corp.;E294377;DIV03;E294377;Lo, Dannie;TRUE;TRUE;Female;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E266882;Schilling, Corrina;FALSE;FALSE;GR-6;Outstanding;39.87;-75.25;40;5;-0.75;27;4;29487
Business Area C;LA Corp.;E021799;DIV02;E021799;Yu, Andong;TRUE;FALSE;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E252825;Henkes, Marko;FALSE;FALSE;GR-8;Satisfactory;-33.93;151.17;40;5;-0.29;61;5;78357
Business Area C;LA Corp.;E034346;DIV04;E034346;Ingram, Arash;TRUE;FALSE;Male;n;Unassigned;Business Ops Professionals;Paris;France;E095280;Michligk, Kearney;FALSE;FALSE;GR-10;Insufficient;48.86;2.35;40;5;-0.31;27;0;76028
Business Area C;LA Corp.;E036468;DIV03;E036468;Schilling, Andy;TRUE;FALSE;Female;y;Unassigned;Business Ops Professionals;Paris;France;E237930;Alpizar, Josh;FALSE;FALSE;GR-9;Outstanding;48.86;2.35;40;5;-0.2;57;5;101604
Business Area C;LA Corp.;E042648;DIV02;E042648;Zhang, Benny;TRUE;FALSE;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E252825;Henkes, Marko;FALSE;FALSE;GR-7;Successful;-33.93;151.17;40;5;-0.47;27;2;57979
Business Area C;LA Corp.;E043216;DIV02;E043216;Yan, Bernhard;TRUE;FALSE;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E252825;Henkes, Marko;FALSE;FALSE;GR-12;Outstanding;-33.93;151.17;40;5;0.3;55;2;142487
Business Area C;LA Corp.;E045588;DIV02;E045588;Strangis, Binyan;TRUE;FALSE;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E252825;Henkes, Marko;FALSE;FALSE;GR-7;Extraordinary;-33.93;151.17;40;5;-0.25;46;0;82753
Business Area C;LA Corp.;E066493;DIV02;E066493;Tse, Chethan;TRUE;FALSE;Male;n;Unassigned;Business Ops Professionals;San Francisco;REG0004;E252825;Henkes, Marko;FALSE;FALSE;GR-15;Insufficient;37.62;-122.38;40;5;1.8;61;2;308212
Business Area C;LA Corp.;E098863;DIV03;E098863;Kim, Derek;TRUE;FALSE;Male;n;Unassigned;Business Ops Professionals;Bangalore;India;E237930;Alpizar, Josh;FALSE;FALSE;GR-14;Insufficient;13.2;77.71;40;5;0.24;58;1;136231
Business Area C;LA Corp.;E120076;DIV02;E120076;Kunkel, Eric;TRUE;FALSE;Male;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E252825;Henkes, Marko;FALSE;FALSE;GR-8;Satisfactory;39.87;-75.25;40;5;-0.16;39;0;92133
Business Area C;LA Corp.;E123159;DIV05;E123159;Gonzalez, Fabien;TRUE;FALSE;Male;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E044139;Willig, Bernie;FALSE;FALSE;GR-6;Successful;39.87;-75.25;40;5;-0.59;44;5;45576
Business Area C;LA Corp.;E165394;DIV02;E165394;Fung, Ewell;TRUE;#;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E252825;Henkes, Marko;FALSE;FALSE;GR-14;Insufficient;-33.93;151.17;40;5;0.78;34;5;195457
Business Area C;LA Corp.;E166370;DIV03;E166370;Fei, Jacob;TRUE;FALSE;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E237930;Alpizar, Josh;FALSE;FALSE;GR-7;Satisfactory;-33.93;151.17;40;5;-0.36;23;0;69871
Business Area C;LA Corp.;E171799;DIV02;E171799;Zhao, James;TRUE;#;Male;n;Unassigned;Business Ops Professionals;Frankfurt;Germany;E252825;Henkes, Marko;FALSE;FALSE;GR-12;Extraordinary;50.03;8.57;40;5;0.3;63;5;143473
Business Area C;LA Corp.;E172992;DIV02;E172992;Xi, Jeniece;TRUE;FALSE;Female;n;Unassigned;Business Ops Professionals;Frankfurt;Germany;E252825;Henkes, Marko;FALSE;FALSE;GR-8;Outstanding;50.03;8.57;40;5;-0.38;52;5;68592
Business Area C;LA Corp.;E198593;DIV09;E198593;Datar, Donald;TRUE;FALSE;Female;y;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E300121;Lauzon, Charyl;FALSE;FALSE;GR-9;Insufficient;39.87;-75.25;40;5;-0.28;47;5;94873
Business Area C;LA Corp.;E211797;DIV02;E211797;Aziz, Doug;TRUE;FALSE;Female;y;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E252825;Henkes, Marko;FALSE;FALSE;GR-6;Satisfactory;39.87;-75.25;40;5;-0.6;23;3;52757
Business Area C;LA Corp.;E247476;DIV02;E247476;Nathaniel, Maheshwar;TRUE;FALSE;Female;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E252825;Henkes, Marko;FALSE;FALSE;GR-9;Successful;39.87;-75.25;40;5;-0.14;37;3;94583
Business Area C;LA Corp.;E250035;DIV01;E250035;Koochakzadeh, Marc;TRUE;FALSE;Male;n;Unassigned;Business Ops Professionals;San Francisco;REG0004;E144808;Eckstein, Hemanth;FALSE;FALSE;GR-6;Satisfactory;37.62;-122.38;40;5;-0.49;58;3;55621
Business Area C;LA Corp.;E251178;DIV02;E251178;Jain, Marjolein;TRUE;FALSE;Female;n;Unassigned;Business Ops Professionals;San Francisco;REG0004;E252825;Henkes, Marko;FALSE;FALSE;GR-12;Outstanding;37.62;-122.38;40;5;0.61;52;3;177207
Business Area C;LA Corp.;E273393;DIV03;E273393;Kumar, Mongo;TRUE;FALSE;Male;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E237930;Alpizar, Josh;FALSE;FALSE;GR-9;Successful;39.87;-75.25;40;5;-0.1;40;4;99159
Business Area C;LA Corp.;E280139;DIV02;E280139;Dea, Narek;TRUE;FALSE;Female;n;Unassigned;Business Ops Professionals;Frankfurt;Germany;E252825;Henkes, Marko;FALSE;FALSE;GR-8;Outstanding;50.03;8.57;40;5;-0.36;40;4;70553
Business Area C;LA Corp.;E296679;DIV03;E296679;Koh, Cornela;TRUE;FALSE;Female;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E237930;Alpizar, Josh;FALSE;FALSE;GR-6;Extraordinary;39.87;-75.25;40;5;-0.62;37;3;41647
Business Area C;NA Corp.;E006070;DIV03;E006070;Ren, Peri;TRUE;#;Female;n;Unassigned;Business Ops Professionals;Bangalore;India;E237930;Alpizar, Josh;FALSE;FALSE;GR-10;Successful;13.2;77.71;40;5;-0.52;38;1;52500
Business Area C;NA Corp.;E010127;DIV03;E010127;Mak, Albert;TRUE;#;Male;n;Unassigned;Business Ops Professionals;Dubai;HREG006;E237930;Alpizar, Josh;FALSE;FALSE;GR-6;Outstanding;25.25;55.33;40;5;-0.52;39;1;53322
Business Area C;NA Corp.;E028037;DIV03;E028037;Zhou, Amrit;TRUE;TRUE;Female;y;very high impact;Business Ops Professionals;Paris;France;E237930;Alpizar, Josh;FALSE;FALSE;GR-9;Satisfactory;48.86;2.35;40;5;-0.25;23;5;98590
Business Area C;NA Corp.;E030308;DIV04;E030308;McGrath, Grange;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E095280;Michligk, Kearney;TRUE;FALSE;GR-9;Outstanding;-33.93;151.17;40;5;-0.12;63;5;97148
Business Area C;NA Corp.;E032510;DIV03;E032510;Labouze, Anthony;TRUE;#;Male;n;Unassigned;Business Ops Professionals;Paris;France;E237930;Alpizar, Josh;FALSE;FALSE;GR-7;Outstanding;48.86;2.35;40;5;-0.48;37;2;56715
Business Area C;NA Corp.;E042076;DIV02;E042076;Asadi, Benjamin;TRUE;TRUE;Male;n;very high impact;Business Ops Professionals;Sydney;REG0003;E252825;Henkes, Marko;FALSE;FALSE;GR-7;Successful;-33.93;151.17;40;5;-0.51;26;2;53393
Business Area C;NA Corp.;E043111;DIV02;E043111;Yoldemir, Benny;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E252825;Henkes, Marko;FALSE;FALSE;GR-9;Outstanding;-33.93;151.17;40;5;-0.1;27;2;99217
Business Area C;NA Corp.;E044175;DIV02;E044175;Wassmuth, Berthold;TRUE;#;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E252825;Henkes, Marko;FALSE;FALSE;GR-8;Insufficient;-33.93;151.17;40;5;-0.15;62;0;93877
Business Area C;NA Corp.;E055438;DIV03;E055438;Huynh, Carlin;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Paris;France;E237930;Alpizar, Josh;FALSE;FALSE;GR-12;Satisfactory;48.86;2.35;40;5;0.41;32;2;154944
Business Area C;NA Corp.;E057888;DIV09;E057888;Godfree, Carlos;TRUE;#;Male;n;Unassigned;Business Ops Professionals;Paris;France;E300121;Lauzon, Charyl;FALSE;FALSE;GR-7;Successful;48.86;2.35;40;5;-0.61;51;2;42986
Business Area C;NA Corp.;E061957;DIV03;E061957;Budhai, Cesar;TRUE;#;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E237930;Alpizar, Josh;FALSE;FALSE;GR-7;Extraordinary;-33.93;151.17;40;5;-0.42;52;0;63301
Business Area C;NA Corp.;E070570;DIV03;E070570;Peruzzi, Christopher;TRUE;#;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E237930;Alpizar, Josh;FALSE;FALSE;GR-7;Progressing;-33.93;151.17;40;5;-0.32;51;2;74833
Business Area C;NA Corp.;E078612;DIV02;E078612;Hertzog, Corey;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Sydney;REG0003;E252825;Henkes, Marko;FALSE;FALSE;GR-12;Successful;-33.93;151.17;40;5;0.56;42;2;171855
Business Area C;NA Corp.;E104691;DIV02;E104691;Do, Don;TRUE;TRUE;Male;n;medium impact;Business Ops Professionals;Bangalore;India;E252825;Henkes, Marko;FALSE;TRUE;GR-9;Extraordinary;13.2;77.71;40;5;-0.59;62;5;45511
Business Area C;NA Corp.;E109511;DIV03;E109511;Baronia, Doug;TRUE;#;Male;n;Unassigned;Business Ops Professionals;Bangalore;India;E237930;Alpizar, Josh;FALSE;FALSE;GR-9;Successful;13.2;77.71;40;5;-0.58;28;5;46125
Business Area C;NA Corp.;E111869;DIV02;E111869;Wason, Edward;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E252825;Henkes, Marko;TRUE;FALSE;GR-9;Progressing;39.87;-75.25;40;5;-0.07;36;5;102027
Business Area C;NA Corp.;E113245;DIV03;E113245;Thakur, Ehsan;TRUE;TRUE;Male;n;medium impact;Business Ops Professionals;Frankfurt;Germany;E237930;Alpizar, Josh;FALSE;FALSE;GR-12;Satisfactory;50.03;8.57;40;5;-0.03;61;0;107124
Business Area C;NA Corp.;E116958;DIV03;E116958;Ong, Eric;TRUE;TRUE;Male;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E237930;Alpizar, Josh;FALSE;FALSE;GR-9;Satisfactory;39.87;-75.25;40;5;-0.24;55;0;83613
Business Area C;NA Corp.;E130149;DIV02;E130149;Vezzosi, Gavin;TRUE;#;Male;n;Unassigned;Business Ops Professionals;San Francisco;REG0004;E252825;Henkes, Marko;FALSE;FALSE;GR-7;Satisfactory;37.62;-122.38;40;5;-0.26;31;5;80866
Business Area C;NA Corp.;E131813;DIV02;E131813;Thakur, Geoff;TRUE;#;Male;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E252825;Henkes, Marko;FALSE;FALSE;GR-9;Insufficient;39.87;-75.25;40;5;0.16;31;5;127136
Business Area C;NA Corp.;E136107;DIV03;E136107;Zhao, Danny;TRUE;TRUE;Male;y;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E237930;Alpizar, Josh;TRUE;FALSE;GR-9;Satisfactory;39.87;-75.25;40;5;0;34;5;131568
Business Area C;NA Corp.;E139782;DIV03;E139782;Ke, Hans-Peter;TRUE;#;Male;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E237930;Alpizar, Josh;FALSE;FALSE;GR-10;Successful;39.87;-75.25;40;5;0.18;57;5;129509
Business Area C;NA Corp.;E141101;DIV02;E141101;Jang, Harjeet;TRUE;#;Male;n;Unassigned;Business Ops Professionals;Philadelphia;REG0001;E252825;Henkes, Marko;FALSE;FALSE;GR-7;Insufficient;39.87;-75.25;40;5;-0.27;37;5;79838
